iter	Passed	Remaining
0	212	212414
1	248	123935
2	281	93569
3	292	72905
4	322	64136
5	353	58489
6	371	52714
7	394	48956
8	413	45579
9	424	42065
10	447	40235
11	478	39357
12	491	37291
13	523	36872
14	554	36439
15	587	36148
16	607	35125
17	638	34854
18	658	34000
19	693	33970
20	724	33754
21	757	33696
22	783	33283
23	790	32132
24	808	31546
25	822	30804
26	827	29826
27	858	29807
28	875	29313
29	907	29338
30	937	29288
31	971	29387
32	981	28749
33	994	28244
34	1025	28273
35	1056	28289
36	1095	28521
37	1126	28521
38	1152	28405
39	1184	28417
40	1217	28470
41	1247	28457
42	1263	28119
43	1294	28127
44	1325	28137
45	1351	28035
46	1382	28041
47	1417	28113
48	1424	27642
49	1439	27344
50	1470	27366
51	1502	27393
52	1537	27464
53	1549	27142
54	1560	26809
55	1590	26819
56	1621	26833
57	1656	26900
58	1685	26880
59	1699	26630
60	1732	26663
61	1763	26672
62	1791	26649
63	1820	26627
64	1854	26679
65	1886	26702
66	1919	26735
67	1950	26736
68	1966	26533
69	1996	26521
70	2027	26522
71	2064	26603
72	2102	26700
73	2114	26463
74	2136	26348
75	2157	26236
76	2189	26244
77	2219	26240
78	2230	26000
79	2261	26010
80	2291	26002
81	2310	25865
82	2324	25677
83	2352	25654
84	2364	25453
85	2396	25469
86	2405	25245
87	2431	25195
88	2463	25212
89	2497	25249
90	2530	25279
91	2548	25156
92	2583	25199
93	2593	24999
94	2604	24810
95	2613	24612
96	2645	24624
97	2659	24480
98	2695	24531
99	2727	24549
100	2737	24369
101	2768	24370
102	2800	24385
103	2834	24422
104	2843	24234
105	2869	24198
106	2901	24216
107	2935	24246
108	2969	24271
109	2989	24184
110	3009	24101
111	3027	24003
112	3058	24011
113	3097	24075
114	3114	23967
115	3152	24023
116	3176	23976
117	3195	23887
118	3227	23893
119	3259	23901
120	3292	23917
121	3324	23923
122	3336	23786
123	3366	23783
124	3380	23665
125	3414	23683
126	3428	23564
127	3464	23603
128	3497	23614
129	3530	23626
