Rk,Team,Conf,W - L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,Strength of Schedule NetRtg,,ORtg,,DRtg,,NCSOS NetRtg,
1,Auburn,SEC,23-2,36.67,130.9,1,94.2,13,68.4,128,0.064,56,17,1,116.5,1,99.5,2,9.89,19
2,Duke,ACC,23-3,36.39,127.4,2,91,4,65.6,280,-0.04,286,8.26,56,112.5,46,104.3,65,7.01,38
3,Houston,B12,22-4,35.2,125.3,7,90.1,3,60.9,360,-0.029,258,10.84,32,112.6,43,101.8,21,2.46,97
4,Florida,SEC,23-3,33.57,126.5,5,92.9,7,69.3,79,0.011,155,10.03,39,112.5,49,102.4,32,-1.74,216
5,Tennessee,SEC,21-5,31.01,118.3,30,87.3,1,63.8,345,0.006,164,12.34,18,115.7,4,103.4,54,-1.01,197
6,Alabama,SEC,21-4,28.45,126.9,3,98.4,39,74.5,1,0.059,61,15.79,2,116.4,2,100.6,8,11.58,10
7,Wisconsin,B10,21-5,27.7,126.2,6,98.5,40,67.4,187,-0.021,233,12.57,15,114.4,14,101.8,22,0.65,143
8,Texas Tech,B12,20-6,26.89,124.7,10,97.8,33,65.7,276,-0.049,302,8.29,55,111,68,102.7,38,-5.55,319
9,Iowa St.,B12,21-5,26.84,120.5,17,93.6,12,68.8,101,0.001,178,9.66,44,112.6,45,102.9,41,-2.1,233
10,Arizona,B12,18-8,26.14,119.6,23,93.5,9,70.5,43,-0.036,276,14.14,7,115.1,7,101,13,5.45,47
11,Gonzaga,WCC,20-7,26.11,124.8,9,98.7,42,70.3,47,-0.094,345,4.34,86,110.2,80,105.8,99,8.84,23
12,Purdue,B10,19-8,25.86,124.9,8,99.1,45,65.4,288,-0.01,204,15.12,4,116,3,100.9,10,10.36,15
13,Michigan St.,B10,21-5,25.22,119.6,24,94.3,14,67.7,168,-0.017,223,9.96,41,113.1,32,103.1,45,-0.16,171
14,Maryland,B10,20-6,25.22,120.9,16,95.7,20,69.9,61,-0.033,271,8.01,59,112.5,51,104.4,68,-11.17,360
15,Missouri,SEC,19-6,25.03,123.8,11,98.8,44,67.8,162,-0.004,189,8.23,57,111.5,61,103.3,50,-9.5,357
16,Texas A&M,SEC,20-6,24.45,116.2,52,91.8,5,66.3,236,0.039,100,14.16,6,114.9,8,100.8,9,7.3,32
17,St. John's,BE,22-4,24.36,113.6,79,89.2,2,69.9,59,-0.034,273,7.65,63,111.5,60,103.9,60,-0.38,184
18,Kentucky,SEC,17-8,24.21,126.5,4,102.3,76,70.8,30,-0.023,242,15.24,3,115.2,6,99.9,3,4.03,65
19,Saint Mary's,WCC,23-4,24.07,117.6,38,93.6,10,62.2,358,-0.003,186,4.76,79,110.6,75,105.9,100,5.2,50
20,Michigan,B10,20-5,23.73,119.9,20,96.2,22,70.1,53,0.056,68,11.61,27,113.5,23,101.9,25,3.77,68
21,Illinois,B10,17-10,23.39,121,15,97.6,31,71.9,14,-0.065,321,13.99,9,114.3,17,100.3,5,-1.45,207
22,Mississippi,SEC,19-7,23.11,118,35,94.9,16,68.3,132,-0.018,228,11.74,25,113.4,27,101.6,19,-1.19,200
23,Kansas,B12,17-9,23.09,115.4,59,92.3,6,68.6,114,-0.017,226,13.87,10,114.8,9,101,11,7.52,30
24,Clemson,ACC,21-5,23.08,120,19,96.9,27,63.9,342,-0.032,267,7.09,67,111.9,55,104.8,75,3.12,83
25,Louisville,ACC,20-6,22.86,119.9,21,97,29,68.8,106,0.034,109,9.9,42,113.3,29,103.4,53,6.7,42
