Season,DayNum,WTeamID,WTeamName,WScore,LTeamID,LTeamName,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Tournament_Type,WTeamSeed,WTeamSeedRegion,LTeamSeed,LTeamSeedRegion,WTeamSeed,WTeamSeedRegion,LTeamSeed,LTeamSeedRegion
2023,7,1101,abilene chr,65,1238,jackson st,56,H,0,23,57,8,28,11,20,4,28,12,15,9,5,17,22,55,2,19,10,14,7,33,9,21,6,1,21,Regular,,,,,,,,
2023,7,1103,akron,81,1355,s dakota st,80,H,1,30,69,11,31,10,12,8,23,16,9,5,5,17,31,59,4,15,14,17,5,28,11,12,3,4,15,Regular,,,,,,,,
2023,7,1104,alabama,75,1255,longwood,54,H,0,27,69,3,28,18,26,19,43,10,19,6,9,18,19,71,5,13,11,19,12,23,8,9,8,3,22,Regular,1.0,X,,,1.0,X,,
2023,7,1112,arizona,117,1311,nicholls,75,H,0,38,53,11,18,30,40,7,36,30,24,7,5,22,29,72,7,18,10,22,8,14,11,16,17,1,29,Regular,2.0,X,,,2.0,X,,
2023,7,1113,arizona st,62,1470,tarleton st,59,H,0,21,62,6,24,14,29,14,31,10,21,8,11,27,19,55,2,14,19,32,5,28,10,17,12,4,27,Regular,11.0,Z,,,11.0,Z,,
2023,7,1116,arkansas,76,1295,n dakota st,58,H,0,28,57,4,10,16,23,4,31,10,11,11,4,19,19,56,5,21,15,23,7,25,7,14,5,2,16,Regular,8.0,Z,,,8.0,Z,,
2023,7,1120,auburn,70,1206,george mason,52,H,0,24,71,4,25,18,29,19,23,12,9,14,10,16,21,56,7,20,3,8,7,24,9,19,3,4,23,Regular,9.0,Y,,,9.0,Y,,
2023,7,1124,baylor,117,1290,miss valley st.,53,H,0,37,72,14,34,29,43,21,26,27,9,12,7,22,16,49,3,13,18,29,6,19,13,24,7,1,26,Regular,3.0,X,,,3.0,X,,
2023,7,1125,belmont,70,1325,ohio,69,H,0,28,57,7,25,7,13,5,21,17,12,8,6,13,26,60,9,20,8,9,7,22,8,14,5,0,16,Regular,,,,,,,,
2023,7,1130,boston college,79,1165,cornell,77,H,0,34,72,4,17,7,13,12,27,19,18,16,5,15,29,63,13,36,6,11,8,24,18,23,13,4,16,Regular,,,,,,,,
