매물확인방식,보증금,월세,전용면적,해당층,총층,방수,주차가능여부,총주차대수,관리비,제공플랫폼,허위매물여부,게재일_변환,방향_0,방향_1,방향_2,방향_3,방향_4,방향_5,방향_6,방향_7
2,402500000.0,470000,25.97,10.5,15.0,1.0,0,40.0,96,1,0,530,False,False,False,False,False,False,False,True
2,170500000.0,200000,25.29,3.0,4.0,2.0,1,3.0,0,3,0,608,True,False,False,False,False,False,False,False
1,114000000.0,380000,28.27,2.0,3.0,1.0,1,2.0,0,0,0,580,False,False,False,True,False,False,False,False
2,163500000.0,30000,36.3,3.0,9.0,2.0,0,13.0,10,0,0,578,True,False,False,False,False,False,False,False
2,346000000.0,530000,25.97,3.0,3.0,2.0,1,2.0,0,1,1,424,False,False,False,True,False,False,False,False
1,153000000.0,530000,29.5,2.0,3.0,2.0,0,1.0,0,0,0,503,False,False,True,False,False,False,False,False
2,348500000.0,400000,27.51,2.0,3.0,1.0,1,2.0,0,3,0,483,False,False,False,False,True,False,False,False
2,139500000.0,590000,26.104999999999997,2.0,3.0,2.0,1,2.0,0,1,0,675,False,False,False,True,False,False,False,False
2,120500000.0,440000,31.55,1.0,2.0,2.0,0,18.0,3,1,0,391,False,False,False,False,False,False,True,False
2,79500000.0,260000,39.66,2.0,3.0,2.0,1,2.0,0,1,0,582,True,False,False,False,False,False,False,False
2,187500000.0,390000,23.69,1.0,15.0,1.0,1,15.0,5,0,0,232,False,False,True,False,False,False,False,False
0,91500000.0,750000,31.32,9.0,15.0,2.0,0,44.0,8,1,0,332,False,False,False,False,True,False,False,False
1,348500000.0,180000,23.14,2.0,5.0,1.0,1,5.0,0,2,1,444,False,False,False,True,False,False,False,False
2,27000000.0,320000,36.57,14.0,18.0,1.0,1,46.0,3,0,0,662,False,False,True,False,False,False,False,False
1,409000000.0,110000,25.56,3.0,10.0,1.0,0,5.0,10,0,0,554,False,False,True,False,False,False,False,False
2,8500000.0,590000,30.56,2.0,9.0,1.0,1,45.0,0,2,0,173,False,False,False,False,False,False,False,True
2,15000000.0,10000,22.05,1.0,8.0,1.0,0,27.0,1,2,0,191,False,False,True,False,False,False,False,False
2,385500000.0,750000,24.96,3.0,6.0,1.0,0,7.0,8,1,0,537,False,False,True,False,False,False,False,False
2,123000000.0,600000,27.76,4.0,4.0,1.0,0,1.0,6,3,0,506,False,True,False,False,False,False,False,False
